1290,4706,1419,-2952,6273,-2099
236,4180,1277,-3391,7791,-1258
-10,3834,648,-3006,8863,-734
-775,3483,393,-2094,9072,-558
-1182,3091,-387,-681,7094,-681
-1446,3487,-751,1423,4745,-157
-993,3043,-869,3112,2388,722
-288,2997,-1853,5068,217,1578
278,3194,-3937,7005,-937,2408
2392,5445,-7475,8260,-493,3141
6411,12693,-7451,8739,644,2841
17275,21624,-5533,2023,-1153,-1341
7905,13357,-2962,-2887,4333,-2925
-1115,8298,-2727,-3346,4485,-2551
-6818,2999,-4001,-1162,3944,-3247
-3821,372,-4792,1263,1278,-1004
1214,7466,-3133,5650,-3625,2021
6628,13318,4320,7721,-9101,1137
6346,20607,-3616,-2323,-4520,-1752
1776,3074,4645,-5872,-5540,-156
-8105,1209,1189,2450,-5313,733
-3921,3814,2171,3886,-3683,3684
2330,9384,4831,5010,-6246,3406
5509,12690,2651,4239,-11400,1519
5549,7004,2912,4561,-3353,1160
2207,8280,1077,2331,1443,2815
70,5764,971,2570,1281,2743
1916,6873,867,3275,2527,2858
2532,8080,1396,3617,1362,2377
2862,6490,2570,3520,638,2055
3236,6320,1253,2856,-520,1437
1788,7141,213,3525,-1680,523
1507,7269,109,3333,-2110,814
2253,7091,288,2270,-2918,1300
2871,6854,810,1518,-2516,1544
2864,6842,692,1874,-2177,1597
2145,7399,333,2423,-1834,1881
2449,6927,674,1911,-2541,2109
2723,6098,715,1696,-2986,2008
3076,7160,658,1143,-2805,1709
3055,7819,579,777,-1745,1311
3646,7953,775,265,-220,1311
4577,8183,639,78,859,997
4405,9746,-447,307,1817,184
6489,9960,-7,-1079,2727,-150
6523,10462,806,-1763,3559,-1566
3977,12340,-199,-2950,3792,-2257
-53,14394,-2545,-4703,3288,-3023
-2010,11613,-2698,-8452,1425,-2807
-3239,10666,1111,-9325,2393,-3018
-2826,11291,4513,-8572,2464,-2965
-2186,11263,3666,-8523,-7507,-3317
3056,9696,-917,-7112,-10573,-4283
4523,9380,172,-5818,-5800,-4383
2731,8290,1461,-5432,-108,-4311
1827,7152,2099,-3950,912,-4576
1804,6440,1525,-3273,1511,-4125
2205,5577,1454,-3022,3277,-3486
1507,5038,1058,-3957,5231,-2847
929,4550,730,-3784,6262,-2576
424,3934,463,-2701,7138,-2148
-377,3469,113,-1054,6778,-2027
-862,3000,98,631,5679,-1371
-1119,2739,-242,2363,3973,-201
-622,2402,-1195,4017,1940,978
-260,2515,-2653,5858,331,1951
756,3400,-5106,7592,-271,3167
3849,7873,-8524,7949,670,4059
11792,19921,-5423,4894,469,1960
15348,15942,-5788,-2128,4116,-1219
2838,10701,-3722,-2778,5978,-1724
-5576,6345,-3244,-1273,4799,-2860
-5102,2183,-4374,1548,3070,-2391
1335,7268,-4611,3607,-3507,905
11109,13293,7575,5128,-11215,-1541
5144,20829,-3268,-3855,-4318,-2359
-3779,-885,3446,-3718,-1021,1088
-6972,-126,2716,4807,-2893,2541
-2814,7105,4328,4978,-5289,5909
4413,14883,3414,6185,-8551,3193
6562,9162,2705,3743,-8516,1583
3535,6005,2674,4465,-895,2626
-583,8552,42,3132,1985,3234
-925,6842,538,2473,1739,2602
780,5866,576,3213,1370,2702
1360,7329,408,3391,1179,2917
2079,7609,1341,3663,757,2085
3429,6336,2321,2920,1774,2377
2724,6328,1373,2653,-603,1278
1549,6882,473,3551,-2149,939
1955,7479,178,2828,-2738,1281
2549,6548,600,2137,-3267,1156
2610,6812,315,1779,-2883,1451
2609,7134,775,1715,-1777,1662
2371,7551,1330,1868,-1665,1807
2057,7518,1123,1813,-3000,1850
2348,6564,373,1593,-4411,1740
2840,6996,314,1048,-3730,1452
2929,7363,537,702,-1010,1352
3517,7299,704,279,454,1399
4636,7896,630,-10,-102,1076
5069,9946,-576,600,90,207
5584,10056,-1575,-837,814,-63
6308,9653,383,-2509,1108,-942
4898,10217,-616,-2768,1615,-2034
4016,11864,-1502,-4799,3777,-2503
2018,10537,-1615,-7209,4755,-2976
70,10523,-1053,-8098,6514,-3376
-1766,11957,3710,-7304,10408,-3184
-1202,12297,5424,-8484,-84,-3688
-2874,13860,1271,-5669,-8792,-4063
1770,9781,-1239,-5073,-11181,-4596
3990,9551,1125,-4478,-7045,-5102
4337,8473,1045,-3084,-1058,-5664
3353,7370,1751,-2407,2876,-5180
1846,5859,1693,-1921,4783,-4384
1253,5214,1897,-2027,7301,-3091
312,4689,1782,-2177,8958,-2007
-87,4104,1544,-2227,9865,-1796
-659,3508,1022,-1322,10376,-1550
-1584,3242,562,-236,8686,-1466
-2738,3035,-275,1426,6434,-962
-2854,2672,-799,2960,3702,-9
-1576,2366,-1446,4647,1104,1085
-330,3118,-3031,6539,-493,2161
5895,11707,-7212,8353,-62,2939
16250,23736,-7343,793,950,-836
9313,12300,-3518,-2685,4521,-3133
1033,8890,-2316,-2431,4859,-2392
-5618,3989,-4575,-1127,3128,-3064
-4191,-1043,-5082,1076,694,-1834
-4,6884,-4204,5068,-4836,2146
9323,14171,8032,9731,-13192,1575
10717,23688,-5185,-3525,-3581,-3044
-819,2079,3736,-5597,-1256,132
-8432,-1672,-1159,2628,-2472,99
-4835,4563,4792,4308,-3744,4453
799,11167,4611,6101,-7570,4418
4744,13784,2778,5878,-12305,1316
5215,6780,3853,5381,-4076,451
3635,7473,1097,2354,-8,2876
-1177,6891,398,2165,1369,2957
358,5858,1194,2952,-1379,2857
2694,6895,1932,3352,-1115,2778
2758,7269,2003,3404,1009,2618
1690,5925,2421,3175,1050,2701
1322,5949,1758,2479,-1100,1085
1529,7126,1258,2983,-3350,662
2507,7602,494,1808,-3685,1473
3261,6572,578,910,-4697,1019
2935,6878,-80,1814,-4557,988
2928,7188,1105,1446,-2031,1651
2710,7159,1843,1468,-1596,1936
2443,6724,378,2016,-3641,1938
2537,7046,-663,1551,-4715,1752
3289,7857,854,146,-2155,1541
3657,7913,1219,34,-1124,1332
4417,7559,741,-225,-793,1162
4626,7420,117,-445,-280,567
4314,9002,-1735,-478,683,-187
6014,8124,-1299,-2785,1678,-198
5568,9443,-84,-2996,1221,-1626
4043,10128,-1916,-4340,295,-2511
3694,13200,-2623,-6826,3211,-3251
204,11844,-896,-8663,7310,-3685
-1766,12095,3942,-8122,13990,-2850
35,14013,5536,-8220,5869,-3173
-2099,15625,2794,-7088,-6358,-3466
1272,11260,-724,-6132,-14110,-4324
3542,10656,-822,-4835,-12511,-4770
4567,8902,1767,-2897,-4169,-5720
3054,7180,2096,-2303,354,-5632
1826,5908,1773,-1863,3373,-4937
974,5184,1978,-2418,7473,-3325
-381,3508,1896,-2303,9250,-1609
-700,3144,1699,-2538,10241,-1073
-1143,2274,838,-1588,10119,-1182
-1599,2670,630,-134,7789,-969
-2394,2613,-45,919,4894,-930
-3311,2721,-319,2051,2583,96
-2121,2264,-783,3573,-438,1582
-570,2821,-2091,5413,-858,2740
2444,5056,-6132,7751,842,3173
7530,14064,-8499,8972,3025,2801
23083,22873,-7395,726,3718,-3573
8636,10793,-2317,-1705,3334,-3631
969,8514,-1893,-1740,3498,-1408
-5188,4667,-4676,-1246,4331,-1482
-4314,3417,-6245,1584,1941,-1662
3257,6783,-1480,5141,-5117,955
5351,12113,6632,3420,-8400,715
4225,14099,-3016,502,-1499,-314
-833,6771,4991,1197,-2804,1720
-2088,4204,5541,3371,-7954,1980
-2377,4665,2297,4111,-4753,3183
-511,9859,3795,4744,-2405,3944
3127,10478,3165,4772,-7872,1135
4597,6711,2928,4747,-3941,-66
2897,7159,981,2467,-777,1946
-2277,6600,-191,2602,1528,1756
-828,6881,1213,2368,-1693,2262
2271,7252,2221,2694,-2569,2513
3799,6687,2478,2660,-1279,2121
3534,5627,1956,2412,-2118,1555
3625,6653,1326,2463,-2438,983
2603,7202,415,2758,-2879,639
2632,7176,146,1997,-3692,957
2837,6874,438,1240,-4094,1045
2741,6868,838,1357,-2757,1476
3099,7251,1321,1631,-1866,1947
2664,7318,1397,1986,-2392,2042
1915,6441,-224,1659,-3534,2132
2013,6912,166,469,-2598,2128
2843,7992,1301,226,-1377,1915
4278,7849,1339,35,-1796,1548
4925,6978,1361,-87,-651,1228
4164,7849,379,431,232,660
3052,9547,-1520,-181,748,191
5439,8244,-1180,-2693,1391,275
5810,8380,-60,-2963,414,-627
5082,9594,-1092,-3695,506,-1845
4868,12492,-1848,-6135,3939,-2640
1561,11832,-1845,-7465,6515,-3155
-1024,11460,284,-8021,9470,-3259
-1530,14645,5505,-7267,-1901,-4491
-725,12286,294,-6160,-13490,-4302
3795,11009,-1460,-5230,-14472,-4645
4844,10242,694,-3900,-4593,-5575
3762,8040,2600,-2801,1211,-5874
2478,7343,1862,-1639,3425,-5207
1796,6016,2321,-1706,6523,-4113
778,4973,2110,-2129,9412,-2445
-431,4028,1863,-2500,10721,-1452
-640,2832,1325,-1912,10898,-1531
-1432,2831,924,-583,9308,-1495
-2136,2595,816,343,6602,-1237
-3302,2517,38,1437,4358,-302
-3199,1585,-448,2787,1679,636
-1666,2035,-859,4462,-299,1790
-338,3390,-2608,7355,-38,3148
4089,6941,-8020,8595,1040,3252
10017,20524,-8700,7726,3359,2064
21278,17580,-2988,-275,3060,-3686
5936,9930,-2175,-1792,5007,-2792
-2127,5807,-2590,-1539,5201,-1877
-5928,1266,-5415,148,3079,-1958
-1945,1568,-4603,2724,-1141,169
4214,9089,35,8579,-6387,1881
10356,20939,7607,3757,-8122,-1226
5914,15175,-7128,-4567,469,-2205
-6262,531,6152,-2727,472,1875
-7679,-230,2577,4426,-6722,2091
-3007,7063,5655,6421,-6685,4584
3826,12255,4454,5058,-9475,2604
7461,11736,3537,5732,-9917,-720
5296,6197,3143,3664,-296,1658
-1157,8744,370,2058,3765,3412
-3120,6364,-339,2406,1206,2279
60,5996,1786,3262,-2585,2536
3346,6652,2575,3540,-2836,2505
4102,7110,3010,3374,-29,2328
2321,5461,1498,2959,-1089,2170
2058,7043,456,2651,-1609,1034
1788,7513,546,2449,-2529,811
3024,7168,540,1439,-3996,1331
3824,6584,573,892,-4016,1337
4018,6945,532,1210,-3592,1160
3481,7014,1203,1487,-2300,1415
2508,6950,1234,1800,-2089,1716
1736,6251,34,1853,-2827,1784
1789,7365,19,973,-2264,1832
2877,7833,1146,469,-1149,1736
4073,7838,1616,224,-1089,1428
4846,7676,1176,-3,-1207,881
4110,8670,-197,300,-283,357
3354,9752,-1506,-664,1240,-151
5603,9678,-328,-2944,2135,-403
5749,10305,-27,-2614,1534,-1608
3699,11870,-1517,-4720,2032,-2414
912,13326,-2936,-6521,3209,-3039
-1286,11039,-1089,-8678,3503,-3501
-2271,11345,3548,-8180,8727,-2648
-345,12437,4893,-8534,4435,-3341
-925,13622,1553,-7731,-10423,-4190
2723,10748,-1579,-7325,-17257,-5058
4077,10283,80,-5677,-8980,-4890
3564,8289,2376,-4298,-1038,-5655
2929,6554,1989,-3124,768,-5222
2848,5600,1545,-2068,3841,-4341
1879,5009,1850,-2723,7374,-2955
444,4126,1812,-2909,8994,-1956
-45,3018,1983,-2821,10311,-1434
-600,2555,969,-1971,9992,-1276
-1419,2098,614,-660,7627,-1033
-2295,2525,-141,893,5694,-580
-2970,2021,-465,2793,2479,385
-1251,1804,-856,4516,126,1571
48,2052,-1780,7085,-440,2733
1938,4369,-5481,9821,1340,3580
6680,14716,-8976,10475,2973,2461
24200,26451,-7091,321,583,-4746
10086,13341,-2073,-2968,6182,-3181
-2180,7829,-1894,-2126,5599,-1639
-6394,2301,-5288,-902,5439,-2685
-5257,-1412,-6128,802,1781,-1371
2253,6950,-1091,7201,-5480,1318
8821,17891,10439,8322,-10762,180
9406,20152,-7275,-2621,-1097,-1651
-2954,2095,4665,-3763,-714,2503
-9348,39,1499,3277,-6175,1157
-4224,4952,5294,4614,-5899,4882
2809,10477,6050,5696,-9721,2568
7640,12260,3669,5199,-11012,-575
6389,6139,3414,4840,-3693,170
2681,8252,925,2506,2962,3130
-3189,6916,-894,2049,3179,2358
-1647,6240,711,2353,-909,2638
2343,6455,2649,2913,-2170,2786
4806,7019,2874,2880,171,2680
3293,6299,1455,2821,-502,2210
2481,6550,848,2757,-1129,1238
1647,7652,211,2431,-1946,610
1987,7319,657,1796,-2214,1211
3429,6745,282,914,-3460,1553
3967,7259,959,1326,-2487,1785
3369,6802,858,2212,-2120,2069
2507,6042,320,1747,-2918,2267
2458,5603,803,977,-2294,2382
3482,7062,1155,1025,-1497,2150
4236,7328,1133,1052,-1077,1473
4509,7811,1936,880,312,1018
3927,8789,956,1231,1154,830
2838,10152,-1459,125,469,546
5392,8621,-699,-2695,1302,1038
6008,9251,-38,-1853,1684,-403
4525,10225,-369,-2596,1909,-1446
3056,12585,-1343,-4569,3742,-2377
49,12102,-1701,-6711,4743,-2512
-1843,11147,-1115,-8108,5719,-2834
-2839,11683,4904,-7052,9355,-2210
-1464,12447,4629,-8433,-285,-3058
-443,12230,274,-7268,-10798,-3552
3026,9898,-1402,-6353,-14459,-4477
3291,9557,919,-5590,-6295,-4961
2365,8364,2346,-3920,-1758,-5547
2461,6602,2392,-2536,-858,-5576
2863,5519,1777,-1894,3040,-4746
2159,5303,1626,-2587,6187,-3485
977,4547,1596,-2385,8261,-2463
175,3645,1675,-2453,9436,-2224
-850,2867,1280,-1545,8883,-2231
-1838,2877,679,-186,6423,-2079
-2650,3143,72,1208,4451,-1349
-2432,2117,-470,2827,2197,-156
-1142,2135,-1072,4697,425,1278
655,3148,-3127,6838,802,2699
3877,5592,-8443,8316,3380,3755
12065,16164,-9352,7270,2957,2309
17925,19318,-2985,267,2627,-1609
5914,11162,-1788,-1299,4844,-2135
-2357,6746,-3280,-1153,5057,-2232
-5510,1756,-6273,-23,2411,-2997
-1179,5415,-4643,3216,-2850,585
8091,10095,10914,7732,-8191,1560
5516,24488,-6915,-2398,-5329,-2218
-1008,2950,3110,-6140,576,738
-9570,-1940,841,2800,-3547,910
-4597,4273,5906,5891,-7052,4936
1178,13037,4616,6007,-8979,3927
7105,14069,4012,5439,-10962,476
6446,5608,3273,3863,-2666,561
684,7919,1060,1997,1573,3659
-2480,6862,-24,2181,1166,2666
2,6051,1406,3015,-2282,2610
2657,6646,1770,2944,-2610,2666
3545,7509,2370,3074,-292,2614
2580,6822,1776,2889,-193,2493
2383,6748,1135,2006,-394,1929
2014,6876,784,2288,-1317,1093
2339,7177,721,1960,-2948,1415
3633,6669,1032,940,-3731,1313
3674,6562,624,1041,-4336,1142
3129,7004,189,1675,-3622,1545
3057,7066,946,1323,-1666,2088
2665,6764,1178,1371,-1748,2203
2271,6312,262,1741,-2793,2261
2782,7279,597,1005,-2219,1864
3432,7267,787,341,-1176,1554
4347,7309,1248,69,-29,1290
5031,8246,688,518,1007,643
3712,10302,-1725,288,236,-197
4508,9208,-2397,-1974,2750,4
5223,8968,29,-3010,1726,-460
4148,10429,-1070,-3556,320,-1605
3872,12698,-1872,-5658,3530,-2085
906,11661,-1304,-7535,6974,-2383
-1212,11838,-1310,-8143,7987,-2539
-2266,10912,2710,-8083,8501,-2512
-836,12404,6044,-8535,-1335,-3627
-2116,12966,3485,-7062,-9610,-3764
2312,10422,-227,-5073,-11446,-4636
5553,9090,-1089,-4747,-8216,-4748
5488,7846,289,-2491,-3135,-5652
3638,7144,1480,-1314,1638,-5177
2240,6207,2087,-1472,4391,-4783
927,5452,2433,-1617,6907,-3481
332,4659,2470,-1974,9528,-2075
-587,3452,1975,-1969,9839,-1774
-828,2779,969,-907,9133,-2174
-1656,2352,688,628,7265,-1967
-2683,2647,-78,1669,5944,-1289
-3347,2650,-600,2756,3753,-127
-2247,2470,-1016,4062,1550,1031
-296,3745,-2386,5873,717,2359
2735,6621,-8319,7255,2155,2770
8017,14314,-7585,9067,1657,2172
20898,20405,-7182,1119,1785,-1702
8838,10847,-2921,-1068,3986,-2246
8,8837,-1993,-615,4773,-1273
-4024,3300,-3961,-698,3365,-2378
-1970,-452,-5453,797,-358,-1517
2068,4825,3127,7892,-6542,1309
7750,23298,-8260,-2187,-293,-922
-2615,2345,4603,-3088,-881,700
-4398,2334,4096,2940,-6758,1037
-2742,5476,3854,3820,-5263,3331
1646,9561,4466,5579,-6851,2414
4659,10558,3475,5551,-9704,-387
5205,7503,3527,4178,-3013,245
-146,8717,742,1739,2266,3071
-2438,6791,-431,1989,166,2014
-141,6156,1962,3080,-3220,2191
2979,5931,2870,3081,-3346,2241
3827,7255,2966,3053,-2052,2325
2639,5993,1457,3008,-974,2192
1902,7011,963,2450,-942,1294
1482,7368,672,2366,-2951,634
2237,7324,885,1168,-4321,1038
3352,6658,599,513,-5091,1467
4241,6890,596,803,-4775,1321
3756,7056,925,1318,-3587,1328
2451,6682,666,1600,-2912,1614
2188,6116,300,1525,-3100,1976
2458,6541,586,938,-3137,1978
2928,7292,1397,519,-2595,1708
3730,7199,1994,118,-823,1243
4732,7561,1709,406,-713,1157
4036,8067,1557,653,-251,673
3738,10134,-747,601,767,335
5138,9170,-683,-2064,1770,607
7210,8852,384,-1765,3046,42
4644,10219,278,-2128,2045,-1404
